cardinalidade,custo,instancia,tabu
32,-12.0,A-n32-k5.vrp,0.5
32,-12.0,A-n32-k5.vrp,0.5
32,-14.0,A-n32-k5.vrp,0.5
32,-15.0,A-n32-k5.vrp,0.5
32,-12.0,A-n32-k5.vrp,0.5
32,-13.0,A-n32-k5.vrp,0.8
32,-15.0,A-n32-k5.vrp,0.8
32,-18.0,A-n32-k5.vrp,0.8
32,-18.0,A-n32-k5.vrp,0.8
32,-12.0,A-n32-k5.vrp,0.8
32,-4.0,A-n32-k5.vrp,1.0
32,-3.0,A-n32-k5.vrp,1.0
32,-12.0,A-n32-k5.vrp,1.0
32,-6.0,A-n32-k5.vrp,1.0
32,-18.0,A-n32-k5.vrp,1.0
32,-5.0,A-n32-k5.vrp,1.2
32,2.0,A-n32-k5.vrp,1.2
32,6.0,A-n32-k5.vrp,1.2
32,-10.0,A-n32-k5.vrp,1.2
32,0.0,A-n32-k5.vrp,1.2
32,9.0,A-n32-k5.vrp,1.5
32,9.0,A-n32-k5.vrp,1.5
32,1.0,A-n32-k5.vrp,1.5
32,9.0,A-n32-k5.vrp,1.5
32,-2.0,A-n32-k5.vrp,1.5
80,-214.0,A-n80-k10.vrp,0.5
80,-202.0,A-n80-k10.vrp,0.5
80,-204.0,A-n80-k10.vrp,0.5
80,-207.0,A-n80-k10.vrp,0.5
80,-215.0,A-n80-k10.vrp,0.5
80,-228.0,A-n80-k10.vrp,0.8
80,-198.0,A-n80-k10.vrp,0.8
80,-212.0,A-n80-k10.vrp,0.8
80,-226.0,A-n80-k10.vrp,0.8
80,-238.0,A-n80-k10.vrp,0.8
80,-235.0,A-n80-k10.vrp,1.0
80,-189.0,A-n80-k10.vrp,1.0
80,-234.0,A-n80-k10.vrp,1.0
80,-200.0,A-n80-k10.vrp,1.0
80,-206.0,A-n80-k10.vrp,1.0
80,-190.0,A-n80-k10.vrp,1.2
80,-210.0,A-n80-k10.vrp,1.2
80,-189.0,A-n80-k10.vrp,1.2
80,-190.0,A-n80-k10.vrp,1.2
80,-195.0,A-n80-k10.vrp,1.2
80,-127.0,A-n80-k10.vrp,1.5
80,-125.0,A-n80-k10.vrp,1.5
80,-176.0,A-n80-k10.vrp,1.5
80,-139.0,A-n80-k10.vrp,1.5
80,-144.0,A-n80-k10.vrp,1.5
31,-172.0,B-n31-k5.vrp,0.5
31,-173.0,B-n31-k5.vrp,0.5
31,-170.0,B-n31-k5.vrp,0.5
31,-173.0,B-n31-k5.vrp,0.5
31,-172.0,B-n31-k5.vrp,0.5
31,-168.0,B-n31-k5.vrp,0.8
31,-165.0,B-n31-k5.vrp,0.8
31,-167.0,B-n31-k5.vrp,0.8
31,-164.0,B-n31-k5.vrp,0.8
31,-165.0,B-n31-k5.vrp,0.8
31,-163.0,B-n31-k5.vrp,1.0
31,-160.0,B-n31-k5.vrp,1.0
31,-158.0,B-n31-k5.vrp,1.0
31,-163.0,B-n31-k5.vrp,1.0
31,-159.0,B-n31-k5.vrp,1.0
31,-155.0,B-n31-k5.vrp,1.2
31,-164.0,B-n31-k5.vrp,1.2
31,-153.0,B-n31-k5.vrp,1.2
31,-153.0,B-n31-k5.vrp,1.2
31,-152.0,B-n31-k5.vrp,1.2
31,-155.0,B-n31-k5.vrp,1.5
31,-152.0,B-n31-k5.vrp,1.5
31,-146.0,B-n31-k5.vrp,1.5
31,-153.0,B-n31-k5.vrp,1.5
31,-158.0,B-n31-k5.vrp,1.5
78,-312.0,B-n78-k10.vrp,0.5
78,-281.0,B-n78-k10.vrp,0.5
78,-346.0,B-n78-k10.vrp,0.5
78,-384.0,B-n78-k10.vrp,0.5
78,-281.0,B-n78-k10.vrp,0.5
78,-386.0,B-n78-k10.vrp,0.8
78,-366.0,B-n78-k10.vrp,0.8
78,-375.0,B-n78-k10.vrp,0.8
78,-398.0,B-n78-k10.vrp,0.8
78,-413.0,B-n78-k10.vrp,0.8
78,-404.0,B-n78-k10.vrp,1.0
78,-396.0,B-n78-k10.vrp,1.0
78,-388.0,B-n78-k10.vrp,1.0
78,-386.0,B-n78-k10.vrp,1.0
78,-364.0,B-n78-k10.vrp,1.0
78,-373.0,B-n78-k10.vrp,1.2
78,-391.0,B-n78-k10.vrp,1.2
78,-380.0,B-n78-k10.vrp,1.2
78,-370.0,B-n78-k10.vrp,1.2
